match_created_utc,user_deck,oppo_deck,result_vs_oppo
2026-05-27T17:30:56+00:00,Colorless Eldrazi,,None-None
2026-05-27T17:30:56+00:00,Colorless,,None-None
2026-05-27T17:26:56+00:00,Izzet Sneak and Show,Mardu Energy,1-2
2026-05-27T17:29:07+00:00,Dimir Control,Colorless Eldrazi,0-2
2026-05-27T17:34:28+00:00,mono-black stompy,Izzet Chorus,2-0
2026-05-27T17:31:12+00:00,Izzet Sneak and Show,Sultai Show and Tell,2-1
2026-05-27T17:15:15+00:00,Izzet Sneak and Show,Izzet Sneak and Show,2-0
2026-05-27T17:40:43+00:00,Mono-Green Eldrazi,Mono-Black Stompy,1-2
2026-05-27T17:31:36+00:00,Ruby Storm,Izzet Sneak and Show,2-1
2026-05-27T18:03:55+00:00,Izzet Sneak and Show,Turbo Reanimator,0-2
2026-05-27T17:21:49+00:00,Jund Deathshadow,Esper Tempo,2-1
2026-05-27T17:32:34+00:00,mono-black stompy,Rakdos Breach,1-2
2026-05-27T17:34:05+00:00,Dimir Tempo,Mono-White Stompy,1-2
2026-05-27T17:34:08+00:00,Rakdos Burn,Mardu Energy,0-2
2026-05-27T18:08:47+00:00,Jund Deathshadow,Mardu Energy,2-0
2026-05-27T17:59:38+00:00,Izzet Sneak and Show,Colorless Eldrazi,2-0
2026-05-27T17:55:25+00:00,Mardu Energy,Ruby Storm,0-2
2026-05-27T18:21:33+00:00,Mono-White Stompy,Rakdos Breach,2-0
2026-05-27T18:04:05+00:00,Izzet Sneak and Show,Turbo Reanimator,2-1
2026-05-27T18:34:37+00:00,Mono-Black Stompy,Dimir Reanimator,2-1
2026-05-27T17:58:18+00:00,Dimir Tempo,mono-black stompy,0-2
2026-05-27T18:18:37+00:00,Izzet Chorus,Izzet Sneak and Show,1-2
2026-05-27T18:02:26+00:00,Izzet Sneak and Show,Izzet Sneak and Show,2-1
2026-05-27T17:55:14+00:00,Izzet Sneak and Show,Esper Tempo,0-2
2026-05-27T18:43:55+00:00,Dimir Control,Colorless Eldrazi,0-2
2026-05-27T18:02:53+00:00,Rakdos Burn,Sultai Show and Tell,1-2
2026-05-27T17:59:11+00:00,Izzet Sneak and Show,Mono-Green Eldrazi,0-2
2026-05-27T18:45:09+00:00,Izzet Sneak and Show,,None-None
2026-05-27T19:04:58+00:00,Ruby Storm,Mono-White Stompy,1-2
2026-05-27T18:53:39+00:00,Izzet Sneak and Show,Izzet Sneak and Show,0-2
2026-05-27T19:18:00+00:00,Jund Deathshadow,Mono-Black Stompy,2-1
2026-05-27T19:20:10+00:00,Mardu Energy,Mono-Green Eldrazi,0-2
2026-05-27T19:13:34+00:00,Sultai Show and Tell,Esper Tempo,2-1
2026-05-27T19:11:52+00:00,Dimir Reanimator,Turbo Reanimator,1-2
2026-05-27T19:14:16+00:00,Colorless Eldrazi,mono-black stompy,1-2
2026-05-27T18:57:44+00:00,Rakdos Breach,Colorless Eldrazi,0-2
2026-05-27T19:12:46+00:00,Izzet Sneak and Show,Mardu Energy,0-2
2026-05-27T19:01:37+00:00,Izzet Sneak and Show,Izzet Sneak and Show,0-2
2026-05-27T18:54:57+00:00,Rakdos Burn,Dimir Tempo,2-0
2026-05-27T20:07:22+00:00,Mono-White Stompy,Jund Deathshadow,2-None
2026-05-27T19:37:16+00:00,Izzet Sneak and Show,Ruby Storm,2-1
2026-05-27T19:49:59+00:00,Mardu Energy,mono-black stompy,0-2
2026-05-27T19:43:40+00:00,Turbo Reanimator,Colorless Eldrazi,0-2
2026-05-27T19:48:18+00:00,Mono-Black Stompy,Sultai Show and Tell,1-2
2026-05-27T19:43:10+00:00,Izzet Sneak and Show,Mono-Green Eldrazi,1-2
2026-05-27T19:54:51+00:00,Izzet Sneak and Show,Mardu Energy,2-1
2026-05-27T19:35:46+00:00,Izzet Sneak and Show,Esper Tempo,0-2
2026-05-27T19:48:11+00:00,Izzet Sneak and Show,Rakdos Burn,2-1
2026-05-27T19:43:29+00:00,Colorless Eldrazi,Izzet Sneak and Show,0-2
2026-05-27T20:20:40+00:00,Mono-White Stompy,Izzet Sneak and Show,1-2
2026-05-27T20:29:14+00:00,Jund Deathshadow,Sultai Show and Tell,0-2
2026-05-27T20:20:20+00:00,Colorless Eldrazi,Mono-Green Eldrazi,1-2
2026-05-27T20:07:12+00:00,mono-black stompy,Izzet Sneak and Show,2-0
2026-05-27T20:16:05+00:00,Ruby Storm,Mono-Black Stompy,1-2
2026-05-27T20:11:05+00:00,Turbo Reanimator,Esper Tempo,2-0
2026-05-27T20:17:48+00:00,Mardu Energy,Izzet Sneak and Show,0-2
2026-05-27T20:25:15+00:00,Izzet Sneak and Show,Izzet Sneak and Show,1-2
2026-05-27T20:16:37+00:00,Izzet Sneak and Show,Mardu Energy,0-2
2026-05-27T20:25:04+00:00,Colorless Eldrazi,Rakdos Burn,2-0
2026-05-27T20:52:22+00:00,Izzet Sneak and Show,Turbo Reanimator,2-1
2026-05-27T20:57:05+00:00,Sultai Show and Tell,mono-black stompy,2-0
2026-05-27T20:55:52+00:00,Mono-White Stompy,Mono-Black Stompy,2-1
2026-05-27T21:09:19+00:00,Mono-Green Eldrazi,Jund Deathshadow,2-1
2026-05-27T21:27:50+00:00,Izzet Sneak and Show,Sultai Show and Tell,1-2
2026-05-27T21:39:47+00:00,Mono-White Stompy,Gruul Eldrazi,0-2
2026-05-27T22:02:17+00:00,Sultai Show and Tell,Gruul Eldrazi,0-2
