,player,shell,deck,archetype,win,loss,trick
0,Sporkcore,UBg ,UB Reanimator,Blue Combo,2.0,0.0,DS_DD
1,Sporkcore,UBg ,UR Tempo,Tempo,2.0,0.0,DD_T
2,Sporkcore,UBg ,UR Tempo,Tempo,2.0,1.0,
3,Sporkcore,UBg ,UB Reanimator,Blue Combo,2.0,1.0,
4,Sporkcore,UBg ,WRB Energy,Energy,2.0,0.0,B
5,Panpan,UBg ,GB Lands,Stompy,0.0,2.0,
6,Panpan,UBg ,U Spirits Tempo,Tempo,2.0,0.0,DD_MS
7,Sporkcore,UBg ,UB Tempo,Tempo,1.0,2.0,
8,Sporkcore,UBg ,BR Breach,Fast Combo,2.0,1.0,DD_T
9,Sporkcore,UBg ,UBG SnT,Blue Combo,1.0,2.0,
10,Sporkcore,UBg ,UR Tempo,Tempo,2.0,0.0,
11,Sporkcore,UBg ,UWB Necro Sorin,Fast Combo,2.0,1.0,
12,Sporkcore,UBg ,UR SnS,Blue Combo,2.0,1.0,
13,Sporkcore,UBg ,UW Energy,Energy,1.0,2.0,
14,Panpan,UBg ,UB Reanimator,Blue Combo,2.0,0.0,
15,Panpan,UBg ,UBG Midrange,Midrange,2.0,1.0,DD_MS | DD_T
16,Sporkcore,UBg ,WR Ruby Storm,Fast Combo,2.0,0.0,
17,Sporkcore,UBg ,WR Ruby Storm,Fast Combo,2.0,0.0,
18,Sporkcore,UBg ,UB Reanimator,Blue Combo,1.0,2.0,
19,Panpan,UBg ,UBG SnT,Blue Combo,2.0,0.0,B
20,Sporkcore,UBg ,4C Tempo,Tempo,0.0,2.0,
21,Sporkcore,UBg ,UWB Necro Sorin,Fast Combo,2.0,0.0,
22,Sporkcore,UBg ,UR Affinity,Aggro,0.0,2.0,
23,Sporkcore,UBg ,WR Energy,Energy,2.0,0.0,
24,Sporkcore,UBg ,R Burn,Aggro,2.0,1.0,B
25,Panpan,UBg ,R Red Deck Wins,Aggro,2.0,0.0,
26,Panpan,UBg ,WR Energy,Energy,0.0,2.0,
27,Sporkcore,UBg ,UBG Tempo,Tempo,2.0,0.0,
28,Panpan,UBg ,R Burn,Aggro,1.0,2.0,
29,Panpan,UBg ,UWB Tempo,Tempo,1.0,2.0,
30,Sporkcore,UBg ,WRB Energy,Energy,1.0,2.0,
31,Sporkcore,UBg ,WR Energy,Energy,1.0,2.0,B
32,Sporkcore,UBg ,WRG Cats,Aggro,0.0,2.0,
33,Sporkcore,UBg ,UB Reanimator,Blue Combo,1.0,2.0,
34,Sporkcore,UBg,WRG Midrange,Midrange,2.0,0.0,
35,Sporkcore,UBg,UWG Beans,Control,2.0,1.0,
36,Piccoli,UBw,UB Tempo,Tempo,2.0,0.0,
37,Piccoli,UBw,WR Energy,Energy,2.0,1.0,
38,Piccoli,UBw,UB Reanimator,Blue Combo,2.0,0.0,
